Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
34.0,0.771,0.42,-6.696,0,0.0291,0.615,0.0989,0.441,96.018,218707.0,3,1
77.0,0.68,0.895,-7.144,1,0.0378,0.0156,0.145,0.824,93.037,189375.0,4,0
36.0,0.361,0.577,-4.456,0,0.0286,0.246,0.0627,0.134,151.768,213947.0,4,0
20.0,0.221,0.533,-7.042,0,0.0346,0.206,0.143,0.12,171.563,237893.0,3,1
56.0,0.472,0.626,-8.499,1,0.0849,0.312,0.121,0.296,75.007,214293.0,4,1
41.0,0.789,0.867,-6.104,1,0.0551,0.00961,0.474,0.864,125.868,211347.0,4,0
27.0,0.318,0.359,-8.549,0,0.0305,0.681,0.0951,0.0397,127.747,227333.0,3,0
39.0,0.628,0.605,-9.014,1,0.0344,0.421,0.103,0.439,119.904,230029.0,4,0
54.0,0.567,0.494,-12.093,1,0.0544,0.569,0.33,0.42,149.839,200853.0,4,0
54.0,0.547,0.637,-5.433,1,0.025,0.00828,0.0702,0.469,149.979,303613.0,3,1
20.0,0.673,0.577,-10.076,0,0.0359,0.0806,0.0811,0.856,94.936,182405.0,4,0
79.0,0.315,0.715,-8.072,0,0.0362,0.00125,0.0942,0.497,155.925,289533.0,3,1
69.0,0.764,0.785,-3.528,1,0.033,0.0303,0.315,0.974,113.019,161351.0,4,0
84.0,0.616,0.576,-5.495,0,0.0532,0.0723,0.375,0.269,89.962,182121.0,4,0
29.0,0.57,0.458,-5.935,0,0.0236,0.502,0.134,0.19,93.088,217529.0,4,0
28.0,0.552,0.8,-4.941,0,0.0309,0.35,0.361,0.93,190.096,293347.0,4,1
76.0,0.685,0.61,-5.221,0,0.0439,0.323,0.102,0.323,94.384,186467.0,3,0
46.0,0.455,0.186,-10.869,1,0.0412,0.823,0.102,0.19,107.1,259800.0,4,0
43.81058053029821,0.456,0.978,-4.869,0,0.112,0.0301,0.313,0.327,123.411,4.53111667,4,1
42.0,0.297,0.743,-8.565,1,0.0299,0.00277,0.16,0.119,87.829,375749.0,4,1
19.0,0.544,0.731,-4.307,0,0.0375,0.0731,0.0686,0.299,100.005,212280.0,4,0
58.0,0.587,0.501,-7.483,1,0.0408,0.704,0.0824,0.44,139.92,255794.0,4,0
73.0,0.549,0.653,-7.47,1,0.0503,0.457,0.0969,0.287,121.348,187173.0,4,0
43.81058053029821,0.428,0.957,-4.439,1,0.185,1.25e-05,0.264,0.132,97.541,270380.0,4,1
38.0,0.384,0.297,-6.773,0,0.0428,0.834,0.0876,0.471,82.284,237709.0,4,0
41.0,0.393,0.913,-5.009,1,0.0713,0.00683,0.0547,0.651,78.157,309533.0,4,1
33.0,0.566,0.975,-6.806,1,0.0471,0.00136,0.435,0.574,119.659,264893.0,4,1
43.0,0.509,0.504,-6.789,1,0.0267,0.351,0.31,0.327,104.755,161320.0,4,1
62.0,0.54,0.902,-3.577,1,0.0442,0.0142,0.0756,0.692,75.033,224760.0,4,1
36.0,0.626,0.725,-8.013,0,0.035,0.115,0.109,0.943,87.357,214667.0,4,0
88.0,0.721,0.738,-4.77,1,0.0403,0.00226,0.118,0.637,119.976,2.58305,4,0
38.0,0.371,0.792,-7.265,1,0.0468,0.0188,1.0,0.38,160.013,5.632,4,0
43.81058053029821,0.582,0.753,-4.653,1,0.0268,0.0659,0.157,0.649,137.99,3.982216667,4,0
49.0,0.511,0.672,-5.44,1,0.0279,0.0026,0.254,0.553,165.997,224237.0,4,1
49.0,0.364,0.936,-4.281,1,0.146,0.000626,0.427,0.579,180.191,100608.0,4,0
77.0,0.724,0.695,-5.226,1,0.0622,0.073,0.0889,0.235,139.0,3.74,4,0
35.0,0.6,0.438,-7.162,1,0.0457,0.746,0.147,0.22,127.788,199253.0,4,0
76.0,0.621,0.31,-10.164,0,0.0283,0.945,0.117,0.125,111.893,240707.0,4,0
45.0,0.394,0.366,-12.883,1,0.0472,0.552,0.0991,0.549,91.259,267507.0,4,1
64.0,0.503,0.568,-7.182,0,0.0341,0.00131,0.0856,0.0705,126.935,206147.0,4,1
42.0,0.503,0.601,-5.991,0,0.0319,0.53,0.133,0.302,151.852,198667.0,4,1
50.0,0.6,0.467,-9.056,1,0.0274,0.445,0.321,0.583,117.121,230133.0,4,0
40.0,0.598,0.661,-3.597,0,0.0946,0.0106,0.302,0.671,121.281,174205.0,5,0
32.0,0.689,0.679,-6.735,1,0.0315,0.00028,0.0986,0.43,136.988,278213.0,4,1
31.0,0.456,0.832,-7.053,1,0.0351,0.00591,0.11,0.796,163.048,147005.0,4,1
70.0,0.582,0.689,-12.203,1,0.0277,0.607,0.145,0.531,111.166,297853.0,4,1
38.0,0.612,0.622,-6.698,1,0.0559,0.266,0.174,0.594,81.972,179268.0,4,1
43.0,0.319,0.29,-9.51,0,0.037,0.445,0.165,0.152,128.462,234923.0,4,0
57.0,0.595,0.784,-4.878,1,0.102,0.216,0.0608,0.479,124.111,183726.0,4,0
76.0,0.822,0.969,-11.471,0,0.0582,0.259,0.39,0.765,128.007,283748.0,4,0
36.0,0.519,0.604,-11.011,0,0.0581,0.218,0.222,0.768,153.644,334040.0,1,1
53.0,0.456,0.956,-3.086,1,0.0423,0.0607,0.0728,0.527,136.283,256733.0,4,1
25.0,0.706,0.827,-8.338,0,0.0526,0.22,0.193,0.786,118.021,317493.0,4,0
55.0,0.749,0.409,-9.263,1,0.0395,0.13,0.152,0.486,122.979,168951.0,4,0
26.0,0.537,0.558,-8.683,1,0.0296,0.0243,0.106,0.828,96.967,202333.0,4,1
27.0,0.613,0.865,-2.925,1,0.0857,0.242,0.181,0.825,180.141,190560.0,4,0
18.0,0.591,0.542,-6.421,1,0.0288,0.853,0.067,0.557,103.014,236280.0,3,1
34.0,0.521,0.512,-6.169,1,0.0279,0.0581,0.0972,0.125,127.963,3.454666667,4,0
33.0,0.534,0.656,-11.192,0,0.0311,0.0142,0.113,0.384,123.879,287000.0,4,0
57.0,0.516,0.243,-11.832,1,0.0319,0.872,0.0999,0.204,97.526,235773.0,4,0
64.0,0.292,0.838,-4.459,1,0.078,0.0014,0.0953,0.423,159.176,5.56333333,4,1
44.0,0.411,0.91,-4.867,1,0.0392,0.000243,0.0931,0.613,106.675,230027.0,4,1
40.0,0.785,0.532,-9.535,0,0.268,0.396,0.109,0.33,94.935,214316.0,4,0
48.0,0.578,0.948,-3.486,1,0.0407,0.000963,0.289,0.751,115.951,185191.0,4,1
19.0,0.595,0.675,-6.631,0,0.0342,0.0288,0.801,0.42,100.011,294990.0,4,0
26.0,0.541,0.944,-3.578,0,0.0436,0.184,0.0759,0.829,165.015,229147.0,4,0
72.0,0.644,0.939,-3.486,0,0.0456,0.157,0.233,0.861,106.031,208107.0,4,1
73.0,0.255,0.393,-10.654,1,0.0278,0.0577,0.113,0.118,76.426,229120.0,4,1
46.0,0.382,0.957,-4.715,1,0.0941,0.000173,0.119,0.178,153.88,217827.0,4,1
28.0,0.462,0.408,-9.036,0,0.0337,0.105,0.106,0.112,108.745,246893.0,4,1
41.0,0.644,0.891,-5.147,1,0.0526,0.00111,0.118,0.504,110.007,239488.0,4,1
20.0,0.609,0.768,-5.057,0,0.218,0.194,0.145,0.339,90.036,220440.0,4,0
66.0,0.87,0.721,-5.311,0,0.11,0.522,0.108,0.489,92.025,188910.0,4,0
52.0,0.709,0.555,-3.506,1,0.0348,0.000269,0.0804,0.638,106.0,3.853116667,4,0
68.0,0.83,0.77,-3.364,0,0.1,0.444,0.23,0.739,82.001,237627.0,4,0
46.0,0.389,0.894,-4.237,1,0.0873,0.000621,0.429,0.691,184.101,185120.0,4,1
35.0,0.41,0.988,-3.097,1,0.138,0.0032,0.17,0.742,163.998,183355.0,4,1
57.0,0.436,0.942,-2.206,1,0.0496,9.56e-05,0.209,0.5,164.975,253947.0,4,1
85.0,0.704,0.225,-14.454,0,0.0994,0.902,0.106,0.243,120.006,245426.0,4,0
52.0,0.402,0.317,-5.826,1,0.0268,0.766,0.715,0.103,77.654,288187.0,4,1
26.0,0.525,0.696,-5.963,0,0.0331,0.21,0.259,0.414,92.065,211147.0,4,0
43.0,0.565,0.495,-14.611,1,0.0506,0.766,0.287,0.952,168.21,2.19955,4,1
53.0,0.622,0.316,-14.387,1,0.0495,0.883,0.1,0.723,139.334,157000.0,3,1
76.0,0.596,0.552,-10.278,0,0.097,0.0765,0.104,0.112,97.949,229320.0,4,0
23.0,0.501,0.437,-14.575,1,0.0255,0.0688,0.349,0.406,91.145,209347.0,4,1
48.0,0.528,0.518,-7.641,1,0.0281,0.425,0.125,0.395,139.98,291947.0,3,1
51.0,0.378,0.377,-6.513,1,0.038,0.789,0.101,0.267,158.443,182828.0,3,0
55.0,0.238,0.946,-4.054,0,0.126,0.000147,0.166,0.276,158.757,205831.0,4,1
19.0,0.719,0.928,-3.215,0,0.0326,0.0736,0.339,0.929,105.004,204067.0,4,0
84.0,0.92,0.654,-3.051,0,0.0401,0.0236,0.0359,0.847,117.046,293827.0,4,1
52.0,0.597,0.43,-8.036,0,0.0397,0.698,0.192,0.526,181.949,164419.0,3,0
28.0,0.722,0.896,-4.581,0,0.0365,0.144,0.196,0.928,114.008,201227.0,4,0
79.0,0.796,0.777,-4.81,1,0.0397,0.0261,0.121,0.787,132.722,258893.0,4,0
37.0,0.536,0.836,-5.976,1,0.0948,0.000233,0.402,0.576,82.526,200909.0,4,1
49.0,0.664,0.837,-9.027,0,0.0497,0.107,0.293,0.732,125.628,3.8,4,1
72.0,0.529,0.932,-7.501,1,0.0488,0.00251,0.136,0.571,138.158,201693.0,4,1
22.0,0.571,0.6,-7.239,0,0.0534,0.63,0.365,0.325,147.905,337040.0,4,1
43.0,0.274,0.567,-5.98,1,0.0276,0.0861,0.398,0.29,144.713,249320.0,4,1
75.0,0.596,0.73,-4.091,1,0.151,0.24,0.325,0.525,85.979,192560.0,4,0
33.0,0.46,0.579,-5.857,0,0.0292,0.322,0.172,0.395,136.206,250053.0,4,0
51.0,0.65,0.672,-7.964,0,0.0393,0.0387,0.139,0.593,125.03,198763.0,4,0
38.0,0.411,0.969,-4.726,1,0.136,0.0256,0.298,0.245,100.025,239874.0,4,1
49.0,0.583,0.881,-4.099,0,0.0904,0.00134,0.341,0.813,140.09,190487.0,4,0
74.0,0.179,0.912,-3.881,0,0.0791,0.0014,0.582,0.289,182.99,231533.0,3,1
24.0,0.544,0.484,-6.215,0,0.0303,0.57,0.339,0.16,127.694,244427.0,4,0
55.0,0.778,0.145,-11.95,0,0.0503,0.892,0.126,0.24,109.071,207936.0,4,0
33.0,0.71,0.844,-4.766,0,0.0296,0.0117,0.338,0.826,123.998,3.06245,4,0
60.0,0.449,0.775,-12.029,1,0.0405,0.162,0.248,0.313,94.907,249768.0,4,1
34.0,0.623,0.888,-5.018,0,0.133,0.343,0.34,0.687,107.962,285347.0,4,1
33.0,0.587,0.624,-5.6,1,0.0344,0.197,0.266,0.175,99.964,236627.0,4,0
73.0,0.601,0.859,-5.263,1,0.0276,0.000359,0.0871,0.446,125.145,4.30045,4,1
32.0,0.586,0.55,-10.846,1,0.0411,0.0287,0.0674,0.128,115.974,291724.0,4,0
74.0,0.494,0.939,-3.127,1,0.126,0.00666,0.139,0.893,177.751,175093.0,4,0
48.0,0.557,0.577,-12.175,1,0.027,0.0796,0.0604,0.445,91.877,379000.0,4,1
53.0,0.498,0.836,-5.224,0,0.0669,0.158,0.971,0.279,144.882,3.551133333,4,0
27.0,0.482,0.649,-13.424,1,0.0298,0.223,0.294,0.717,143.13,327867.0,4,1
