Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
43.81058053029821,0.548,0.711,-8.44,1,0.107,0.542,0.355,0.618,119.675,4.015633333,3,0
43.81058053029821,0.523,0.441,-9.928,1,0.0311,0.465,0.365,0.49,171.246,3.385116667,4,0
55.0,0.374,0.35,-11.48,1,0.176,0.843,0.188,0.129,74.464,3.81156667,1,0
43.81058053029821,0.381,0.214,-11.629,1,0.0337,0.944,0.106,0.393,127.581,3.586,3,0
40.0,0.645,0.329,-16.642,1,0.0419,0.239,0.375,0.184,128.099,3.545833333,4,0
59.0,0.691,0.231,-10.512,1,0.0471,0.815,0.103,0.298,85.153,3.34355,4,0
30.0,0.524,0.336,-8.034,1,0.0415,0.841,0.111,0.458,110.964,4.757883333,5,0
33.0,0.601,0.728,-10.469,1,0.0436,0.378,0.368,0.862,137.99,5.09355,3,0
47.0,0.349,0.0929,-15.315,1,0.0529,0.944,0.0864,0.293,176.177,3.96591667,3,0
34.0,0.315,0.565,-8.667,1,0.0369,0.65,0.107,0.0617,99.49,3.48,4,0
8.0,0.579,0.304,-14.271,0,0.0301,0.751,0.129,0.479,129.867,4.34655,4,0
1.0,0.276,0.659,-6.642,0,0.0352,0.00219,0.146,0.309,81.611,6.236083333,4,0
46.0,0.647,0.512,-8.479,1,0.0381,0.856,0.134,0.0716,111.957,4.13833333,4,0
43.81058053029821,0.368,0.274,-14.878,1,0.0413,0.956,0.0658,0.0459,84.549,4.5,4,0
19.0,0.616,0.547,-7.63,1,0.0342,0.739,0.121,0.345,110.025,6.484166667,4,0
60.0,0.546,0.627,-9.037,1,0.0244,0.316,0.096,0.764,81.278,4.52,4,0
66.0,0.68,0.315,-8.425,1,0.0391,0.913,0.712,0.361,117.614,3.94645,4,0
33.0,0.557,0.264,-10.625,1,0.028,0.874,0.0984,0.433,77.099,3.445166667,4,0
13.0,0.645,0.504,-13.495,1,0.145,0.974,0.23,0.511,124.904,4.725,4,0
25.0,0.439,0.364,-10.723,1,0.0341,0.877,0.0776,0.111,80.202,7.023266667,4,0
65.0,0.455,0.265,-8.468,1,0.0491,0.861,0.685,0.324,176.036,3.264,4,0
30.0,0.538,0.507,-11.016,1,0.0312,0.029,0.354,0.169,103.021,4.065783333,4,0
55.0,0.846,0.559,-4.306,1,0.0644,0.109,0.0445,0.721,114.037,3.03178333,4,0
39.0,0.57,0.571,-7.282,1,0.0291,0.00995,0.133,0.25,134.012,3.746266667,4,0
55.0,0.611,0.313,-10.242,1,0.0339,0.835,0.111,0.378,134.858,3.87845,3,0
43.81058053029821,0.631,0.461,-7.912,1,0.0246,0.417,0.099,0.455,105.872,3.534216667,4,0
43.81058053029821,0.629,0.208,-16.225,1,0.0324,0.824,0.107,0.685,96.609,3.592733333,4,0
11.0,0.55,0.486,-11.0,1,0.0264,0.62,0.171,0.311,79.988,4.05,4,0
53.0,0.651,0.414,-10.572,1,0.0301,0.524,0.118,0.445,111.175,3.83266667,4,0
6.0,0.677,0.736,-9.916,1,0.0432,0.274,0.195,0.974,129.933,1.365333333,4,0
31.0,0.486,0.527,-8.272,1,0.027,0.265,0.158,0.534,133.993,2.994,4,0
61.0,0.491,0.809,-7.68,1,0.0332,0.33,0.0874,0.656,74.008,2.9561,4,0
32.0,0.485,0.262,-13.286,1,0.0263,0.978,0.117,0.332,98.536,2.70688333,4,0
23.0,0.509,0.289,-8.3,1,0.0286,0.88,0.111,0.156,158.799,4.05045,3,0
23.0,0.578,0.455,-11.265,1,0.0252,0.813,0.112,0.217,99.988,3.763333333,4,0
58.0,0.658,0.125,-15.901,1,0.0323,0.877,0.287,0.507,106.686,2.2757,4,0
33.0,0.704,0.2,-12.217,0,0.035,0.755,0.126,0.139,111.947,4.207583333,4,0
21.0,0.567,0.461,-7.124,1,0.0459,0.00107,0.4,0.184,83.021,2.939766667,4,0
44.0,0.425,0.314,-9.072,1,0.0312,0.924,0.129,0.311,73.69,3.49645,4,0
50.0,0.44,0.324,-9.468,1,0.0307,0.777,0.0621,0.328,79.382,3.14155,4,0
67.0,0.674,0.413,-7.816,1,0.0274,0.836,0.098,0.503,124.893,3.96511667,3,0
15.0,0.501,0.659,-8.786,1,0.0355,0.0514,0.107,0.0756,175.998,4.315666667,4,0
40.0,0.467,0.114,-13.973,1,0.0318,0.941,0.292,0.24,134.647,4.012233333,4,0
6.0,0.582,0.662,-8.493,1,0.0346,0.282,0.0615,0.381,140.075,4.78,4,0
48.0,0.59,0.575,-6.42,0,0.0246,0.602,0.128,0.5,79.563,4.076216667,4,0
53.0,0.628,0.345,-12.505,1,0.0289,0.425,0.119,0.116,99.991,3.294,4,0
47.0,0.551,0.832,-4.629,1,0.0903,0.364,0.233,0.303,122.065,3.392466667,4,0
1.0,0.531,0.269,-10.6,1,0.0406,0.866,0.116,0.52,84.186,3.82595,4,0
25.0,0.468,0.546,-9.335,1,0.0654,0.738,0.114,0.32,99.934,8.44555,4,0
55.0,0.636,0.454,-16.548,1,0.0615,0.599,0.304,0.806,155.547,3.33733333,4,0
31.0,0.686,0.382,-9.37,1,0.0319,0.518,0.104,0.273,132.961,3.38845,4,0
15.0,0.597,0.686,-10.458,1,0.0749,0.288,0.0876,0.804,152.049,11.61245,4,0
34.0,0.571,0.477,-12.319,1,0.0392,0.6,0.111,0.466,77.954,3.88453333,4,0
41.0,0.481,0.385,-12.981,1,0.0458,0.62,0.114,0.363,148.504,4.78888333,3,0
56.0,0.488,0.209,-19.549,1,0.0369,0.374,0.103,0.362,120.63,4.72488333,4,0
53.0,0.528,0.116,-14.375,1,0.0388,0.94,0.108,0.438,78.245,2.81331667,4,0
54.0,0.538,0.272,-10.783,1,0.0381,0.904,0.108,0.316,118.382,3.38651667,4,0
24.0,0.433,0.464,-10.741,1,0.0341,0.635,0.121,0.128,143.78,4.350166667,4,0
31.0,0.373,0.403,-10.829,1,0.0312,0.183,0.0757,0.206,116.41,5.186433333,4,0
76.0,0.654,0.506,-17.18,0,0.0535,0.686,0.155,0.831,123.179,4.204,4,0
43.0,0.473,0.753,-4.878,0,0.1,0.549,0.168,0.87,169.695,3.4247,4,0
43.81058053029821,0.641,0.533,-8.909,1,0.0287,0.279,0.113,0.364,95.776,2.701783333,3,0
18.0,0.452,0.347,-10.989,1,0.0475,0.456,0.0953,0.388,75.001,12.56333333,4,0
7.0,0.563,0.922,-4.565,1,0.055,0.00254,0.141,0.0887,149.993,4.382483333,4,0
31.0,0.683,0.488,-8.733,1,0.0266,0.605,0.13,0.424,113.387,3.095466667,4,0
61.0,0.794,0.408,-11.661,0,0.102,0.788,0.105,0.576,93.916,3.019,4,0
40.0,0.565,0.292,-13.124,1,0.0255,0.889,0.112,0.217,78.535,3.503633333,1,0
16.0,0.391,0.577,-6.53,1,0.0324,0.488,0.0758,0.708,173.933,5.378216667,3,0
8.0,0.299,0.811,-7.647,1,0.0948,0.068,0.459,0.709,89.986,7.54045,4,0
37.0,0.572,0.246,-13.668,1,0.0267,0.489,0.108,0.465,95.34,4.005583333,4,0
43.81058053029821,0.493,0.582,-11.906,1,0.0315,0.596,0.115,0.25,149.981,5.647333333,4,0
32.0,0.574,0.351,-10.911,1,0.0549,0.153,0.103,0.319,80.578,4.709783333,4,0
76.0,0.414,0.161,-22.32,0,0.0318,0.883,0.117,0.423,159.375,3.32488333,4,0
48.0,0.504,0.315,-11.79,0,0.0286,0.775,0.112,0.27,101.298,3.6397,4,0
34.0,0.776,0.57,-8.767,1,0.03,0.704,0.109,0.784,131.0,3.643383333,4,0
45.0,0.354,0.321,-10.068,1,0.0314,0.862,0.0953,0.356,146.079,4.59378333,4,0
34.0,0.569,0.111,-18.174,1,0.0406,0.929,0.104,0.284,118.6,2.624,4,0
19.0,0.456,0.353,-9.607,1,0.0349,0.874,0.107,0.335,124.318,4.267633333,3,0
43.81058053029821,0.467,0.193,-18.895,1,0.0315,0.731,0.105,0.108,100.006,5.4,4,0
48.0,0.386,0.561,-5.879,1,0.0324,0.806,0.11,0.416,78.884,3.60618333,4,0
23.0,0.31,0.373,-10.775,1,0.0329,0.89,0.144,0.282,135.15,8.3397,1,0
45.0,0.495,0.537,-4.959,0,0.0296,0.754,0.633,0.171,132.395,3.731333333,3,0
64.0,0.567,0.159,-13.648,1,0.0331,0.914,0.111,0.436,146.913,2.63155,4,0
18.0,0.681,0.567,-9.229,1,0.0385,0.00152,0.112,0.941,152.624,5.55755,4,0
35.0,0.624,0.727,-7.194,1,0.0316,0.21,0.0999,0.193,116.039,3.10063333,4,0
33.0,0.457,0.291,-13.43,1,0.0325,0.548,0.175,0.193,77.904,3.242666667,4,0
24.0,0.49,0.508,-10.719,1,0.0318,0.471,0.077,0.0844,93.022,4.301083333,4,0
56.0,0.572,0.285,-12.367,1,0.0316,0.789,0.0944,0.168,88.012,3.35226667,4,0
28.0,0.574,0.677,-8.009,0,0.0638,0.476,0.0877,0.661,169.899,6.108666667,4,0
23.0,0.401,0.708,-6.816,1,0.0489,0.0577,0.0679,0.486,149.914,4.96,3,0
43.0,0.674,0.522,-7.77,1,0.0275,0.669,0.116,0.59,96.974,3.90823333,4,0
44.0,0.474,0.0964,-15.87,0,0.0406,0.961,0.134,0.272,97.595,4.424,4,0
50.0,0.818,0.456,-7.419,1,0.038,0.823,0.127,0.784,113.992,3.06205,4,0
19.0,0.444,0.475,-10.77,1,0.0461,0.771,0.094,0.421,169.863,4.6316,4,0
39.0,0.686,0.579,-8.183,0,0.0225,0.245,0.113,0.5,102.013,3.728216667,4,0
42.0,0.435,0.153,-11.536,1,0.0499,0.953,0.11,0.326,182.647,3.42,4,0
50.0,0.547,0.347,-4.101,1,0.0421,0.865,0.175,0.562,132.845,4.85898333,5,0
61.0,0.486,0.241,-17.337,1,0.0366,0.413,0.0928,0.614,106.574,5.01888333,4,0
56.0,0.384,0.366,-10.65,1,0.0329,0.371,0.101,0.199,138.134,4.35616667,4,0
39.0,0.541,0.392,-10.635,1,0.0445,0.539,0.0864,0.351,152.993,3.76665,4,0
36.0,0.715,0.432,-6.769,1,0.0275,0.724,0.164,0.175,109.927,4.206883333,4,0
42.0,0.554,0.187,-13.753,1,0.0281,0.809,0.0602,0.104,139.994,3.822583333,4,0
43.81058053029821,0.7,0.74,-7.803,1,0.0697,0.673,0.101,0.543,140.003,4.108716667,5,0
18.0,0.486,0.699,-8.211,1,0.0693,0.436,0.161,0.394,137.927,4.579033333,4,0
38.0,0.382,0.594,-8.402,1,0.0528,0.549,0.107,0.521,160.251,2.6125,4,0
8.0,0.494,0.512,-9.698,1,0.0328,0.000709,0.274,0.0329,120.047,4.776066667,4,0
24.0,0.547,0.798,-8.668,0,0.0375,0.0383,0.0771,0.1,90.501,4.184933333,4,0
64.0,0.637,0.129,-17.082,1,0.0346,0.887,0.0719,0.298,125.802,3.79365,4,0
13.0,0.343,0.78,-6.479,1,0.0375,0.0133,0.157,0.412,100.895,4.622866667,4,0
17.0,0.357,0.738,-7.858,1,0.181,0.465,0.0885,0.52,176.281,6.177116667,4,0
42.0,0.432,0.183,-8.276,1,0.0368,0.736,0.104,0.319,131.848,2.858333333,3,0
50.0,0.299,0.229,-10.635,0,0.0281,0.89,0.129,0.147,83.413,3.19791667,4,0
54.0,0.73,0.403,-10.146,1,0.0483,0.718,0.0985,0.502,124.901,3.82045,4,0
53.0,0.494,0.366,-8.433,1,0.0378,0.729,0.183,0.484,173.779,3.352716667,3,0
61.0,0.429,0.371,-11.803,1,0.0351,0.768,0.119,0.305,129.842,3.96301667,4,0
38.0,0.597,0.576,-5.276,1,0.0259,0.623,0.109,0.754,112.436,3.792583333,4,0
37.0,0.636,0.256,-12.127,1,0.0353,0.89,0.117,0.274,104.921,2.98955,4,0
22.0,0.563,0.542,-5.414,1,0.114,0.951,0.0954,0.653,83.226,3.648866667,4,0
8.0,0.538,0.828,-11.304,1,0.0831,0.391,0.146,0.773,128.03,2.353733333,4,0
30.0,0.593,0.857,-5.858,0,0.108,0.255,0.205,0.448,124.842,2.632,4,0
43.81058053029821,0.37,0.673,-8.507,1,0.0338,0.683,0.387,0.666,140.302,4.81,4,0
